id,MPD,MTD,0.15,0.3,0.6,1.18,2.36,4.75,9.5,13.2,16,19,Energy1,Energy2,Energy3,Energy4,Energy5,Energy6,Energy7,Energy8,Energy9,Entropy1,Entropy2,Entropy3,Entropy4,Entropy5,Entropy6,Entropy7,Entropy8,Entropy9,BPF,EPP,FCN,DBC-FD,FD,AR,e
20103,0.93071875,0.972547917,0.27198,0.52807,0.18281,0.011993,0.0042131,0.00075791,0.00013375,4.46E-05,0,0,2.04E+07,7.73E+07,1.24E+08,1.64E+08,1.85E+08,1.81E+08,1.53E+08,1.53E+08,2.18E+10,4.7555,5.8091,5.8031,5.5603,5.6711,5.4037,5.615,5.4616,5.1263,69.953037,13.046504,6465,2.177750849,1.707154523,0.402058,1.16160083
20104,0.863598833,0.94550575,0.26786,0.53439,0.18204,0.011217,0.0033453,0.0010276,8.75E-05,2.19E-05,0,0,2.81E+07,9.16E+07,1.32E+08,1.58E+08,1.71E+08,1.60E+08,1.41E+08,1.12E+08,2.09E+10,5.0004,5.6228,5.7965,5.8014,5.5478,5.6358,5.6684,5.4699,5.0927,66.710028,14.423356,6860,2.182200928,1.737203681,0.405589,1.16782606
20105,0.90078725,1.011144583,0.275,0.52557,0.18357,0.011437,0.0033496,0.0009035,0.00015426,0,2.20E-05,0,2.80E+07,9.36E+07,1.38E+08,1.73E+08,1.93E+08,1.84E+08,1.49E+08,1.31E+08,2.20E+10,4.9427,5.7912,5.8753,5.8128,5.5866,5.7165,5.6487,5.2909,5.3737,68.345375,13.920967,6431,2.175259871,1.719753848,0.40568,1.1741606
20106,0.884236667,0.95419575,0.27394,0.53273,0.17689,0.011486,0.0037352,0.0011875,2.16E-05,0,0,0,2.94E+07,9.46E+07,1.35E+08,1.62E+08,1.74E+08,1.69E+08,1.47E+08,1.10E+08,1.99E+10,5.1412,5.9197,5.6811,5.6587,5.6676,5.691,5.5857,5.5446,5.3857,66.560332,14.939634,7018,2.207743975,1.75137846,0.405715,1.16941786
20107,0.978132083,0.9884071,0.27824,0.53274,0.17478,0.0099463,0.0031015,0.0011337,4.28E-05,2.14E-05,0,0,3.68E+07,1.02E+08,1.35E+08,1.59E+08,1.70E+08,1.63E+08,1.52E+08,1.12E+08,2.08E+10,4.8796,5.7598,5.7047,5.6705,5.6907,5.5021,5.6446,5.5106,5.2901,66.035833,15.041344,7256,2.181193794,1.723399839,0.409567,1.17836237
20108,0.905731833,0.97964285,0.27404,0.53479,0.17581,0.010917,0.0032362,0.0011219,6.47E-05,2.16E-05,0,0,3.66E+07,1.02E+08,1.36E+08,1.59E+08,1.70E+08,1.62E+08,1.52E+08,1.12E+08,2.08E+10,5.0504,5.8149,5.7253,5.7538,5.7905,5.5489,5.5984,5.5471,5.5993,66.080605,15.071553,7353,2.185537576,1.733506031,0.410436,1.17726398
20109,0.951439167,0.958837267,0.27461,0.52964,0.1801,0.010523,0.003938,0.0010939,6.56E-05,0,2.19E-05,0,2.77E+07,8.82E+07,1.28E+08,1.59E+08,1.81E+08,1.78E+08,1.44E+08,1.34E+08,2.26E+10,4.8139,5.6973,5.865,5.8051,5.7477,5.7481,5.5751,5.3195,5.0639,67.914351,14.166292,6913,2.151163711,1.674853173,0.405734,1.16302013
20201,0.93403225,0.883959667,0.27237,0.53298,0.17879,0.010868,0.003922,0.00094216,0.00010955,2.19E-05,0,0,1.66E+07,7.19E+07,1.15E+08,1.54E+08,1.67E+08,1.60E+08,1.35E+08,1.29E+08,1.68E+10,4.7811,5.6897,5.7893,5.7277,5.7213,5.516,5.5822,5.5338,5.0794,68.435653,13.586056,6813,2.271955812,1.860472434,0.407142,1.16610169
20202,0.86569675,0.872953417,0.27445,0.52915,0.18054,0.011105,0.0037527,0.00091635,6.55E-05,2.18E-05,0,0,1.84E+07,7.34E+07,1.16E+08,1.46E+08,1.61E+08,1.50E+08,1.46E+08,1.11E+08,1.82E+10,4.7893,5.8389,5.7498,5.7288,5.5766,5.6763,5.5512,5.6239,5.2065,67.986618,13.536551,6346,2.249374994,1.817190099,0.405071,1.1658504
20203,0.923522167,0.934852,0.27093,0.53072,0.18311,0.01054,0.0036305,0.00096814,6.60E-05,4.40E-05,0,0,2.36E+07,8.40E+07,1.25E+08,1.54E+08,1.67E+08,1.63E+08,1.43E+08,1.29E+08,2.07E+10,4.8402,5.6967,5.8846,5.7754,5.6761,5.6595,5.4842,5.7374,5.1873,67.863811,13.980747,6597,2.19815218,1.755408401,0.404514,1.16953695
20204,0.983218667,0.94671015,0.27641,0.53056,0.17774,0.010229,0.0038546,0.0011844,2.15E-05,0,0,0,2.22E+07,8.30E+07,1.27E+08,1.62E+08,1.80E+08,1.85E+08,1.52E+08,1.31E+08,1.99E+10,4.8405,5.8121,5.8935,5.8922,5.748,5.6124,5.6528,5.5873,5.1905,68.507246,13.856594,6776,2.214751967,1.774465498,0.400498,1.16499496
20205,0.966408417,0.92467615,0.26907,0.53243,0.18386,0.0099754,0.0035736,0.00094273,0.00015347,0,0,0,2.28E+07,8.64E+07,1.30E+08,1.57E+08,1.73E+08,1.71E+08,1.49E+08,1.19E+08,1.99E+10,5.0286,5.8079,5.9117,5.6804,5.7482,5.4376,5.5618,5.5682,5.2697,68.003961,14.028087,6688,2.215356623,1.780419913,0.407656,1.16443336
20206,0.88889575,0.94230315,0.2745,0.53063,0.17863,0.011306,0.0038271,0.00091849,0.00019682,0,0,0,2.83E+07,9.27E+07,1.30E+08,1.61E+08,1.68E+08,1.64E+08,1.43E+08,1.09E+08,2.00E+10,4.9701,5.8908,5.9277,5.7982,5.7302,5.6594,5.6275,5.5406,4.8527,67.096228,14.731324,6979,2.211019834,1.766431998,0.403915,1.16969359
20207,0.930354833,0.97981075,0.26853,0.53427,0.18215,0.010521,0.0035142,0.00083463,0.00015375,0,0,2.20E-05,2.93E+07,8.96E+07,1.24E+08,1.45E+08,1.56E+08,1.49E+08,1.28E+08,1.20E+08,2.27E+10,4.9101,5.8363,5.8426,5.7706,5.8858,5.6013,5.5807,5.6151,5.2005,66.816266,14.767916,6932,2.12390042,1.800181193,0.403694,1.17302668
20208,0.912513417,0.9214734,0.26842,0.53657,0.17995,0.010612,0.0033041,0.00098466,0.00013129,2.19E-05,0,0,2.60E+07,8.63E+07,1.20E+08,1.44E+08,1.55E+08,1.49E+08,1.42E+08,1.09E+08,1.92E+10,4.9432,5.598,5.7626,5.8525,5.633,5.6811,5.3623,5.4978,5.2344,66.447669,14.652405,6811,2.215769645,1.783249592,0.406806,1.16960049
20209,0.92162525,0.91459315,0.27814,0.52646,0.17927,0.011367,0.003723,0.00085914,0.00017623,0,0,0,2.42E+07,8.22E+07,1.18E+08,1.41E+08,1.54E+08,1.49E+08,1.52E+08,1.16E+08,2.03E+10,4.6598,5.6767,5.7446,5.7114,5.8038,5.5884,5.3946,5.7259,5.4619,68.022303,14.343063,6807,2.207797289,1.763844113,0.407148,1.16797173
20301,0.926991833,0.9478255,0.27953,0.52917,0.17488,0.011254,0.0040162,0.0010372,0.00011034,0,0,0,1.36E+07,7.41E+07,1.24E+08,1.58E+08,1.75E+08,1.68E+08,1.57E+08,1.31E+08,1.62E+10,4.589,5.5534,5.6479,5.6465,5.7028,5.6983,5.6617,5.627,5.3943,69.692694,13.294247,6605,2.281274762,1.848707588,0.405996,1.16604018
20302,0.89207975,0.879157667,0.26886,0.53345,0.18158,0.011283,0.0036503,0.0010177,0.00013274,2.21E-05,0,0,1.14E+07,6.62E+07,1.14E+08,1.46E+08,1.66E+08,1.55E+08,1.46E+08,1.06E+08,1.64E+10,4.8089,5.627,5.8709,5.7208,5.695,5.7407,5.4549,5.4494,5.4888,69.338934,13.01732,6399,2.28032223,1.854718222,0.406813,1.15792096
20303,1.001029167,0.92618325,0.27265,0.53354,0.1795,0.0098238,0.0033177,0.0010772,6.46E-05,2.15E-05,0,0,1.63E+07,8.40E+07,1.37E+08,1.68E+08,1.79E+08,1.68E+08,1.44E+08,1.20E+08,1.83E+10,4.8149,5.603,5.6996,5.6322,5.6335,5.5459,5.5447,5.5173,5.2511,68.189449,13.793398,6743,2.250411915,1.836532156,0.403839,1.16383982
20304,0.889517333,0.91936315,0.2749,0.52923,0.17968,0.011466,0.003579,0.00092789,0.00022093,0,0,0,1.49E+07,7.52E+07,1.23E+08,1.51E+08,1.68E+08,1.59E+08,1.46E+08,1.09E+08,1.56E+10,4.683,5.7656,5.5979,5.8018,5.5706,5.4008,5.4867,5.447,5.1557,68.436412,13.708786,6709,2.289430771,1.866214016,0.407381,1.16356313
20305,0.9043695,0.90975365,0.26868,0.5339,0.1814,0.0116,0.003216,0.0010646,0.0001109,2.22E-05,0,0,1.66E+07,7.74E+07,1.19E+08,1.47E+08,1.64E+08,1.54E+08,1.41E+08,1.17E+08,1.59E+10,4.8105,5.6896,5.8098,5.7336,5.6037,5.6937,5.6417,5.5398,5.4143,68.103727,13.606539,6606,2.282080286,1.868180239,0.406114,1.15926385
20306,0.900714167,0.9154954,0.26815,0.53368,0.18294,0.010396,0.0037843,0.00089043,8.90E-05,6.68E-05,0,0,1.82E+07,8.15E+07,1.28E+08,1.56E+08,1.69E+08,1.65E+08,1.35E+08,1.07E+08,1.78E+10,4.861,5.6742,5.8696,5.7766,5.6804,5.6487,5.1023,5.3683,4.9281,68.300194,13.704251,6433,2.253204532,1.844371379,0.405661,1.16197252
20307,0.887632625,0.921252875,0.27595,0.5285,0.17918,0.011008,0.004276,0.0010087,8.77E-05,0,0,0,2.20E+07,8.87E+07,1.28E+08,1.52E+08,1.65E+08,1.64E+08,1.30E+08,1.13E+08,1.77E+10,4.9773,5.739,5.6493,5.7987,5.4854,5.5538,5.6665,5.5426,5.263,67.862149,14.611444,6690,2.262429697,1.830862957,0.409024,1.16957402
20308,0.972879,0.875249167,0.27237,0.53773,0.17478,0.010226,0.0037005,0.0011167,6.57E-05,2.19E-05,0,0,1.37E+07,7.04E+07,1.12E+08,1.34E+08,1.48E+08,1.45E+08,1.33E+08,1.18E+08,1.61E+10,4.778,5.8016,5.822,5.7931,5.6981,5.6599,5.4011,5.2971,5.0805,68.858004,13.767748,6542,2.284781086,1.867658453,0.408687,1.16353822
20309,0.962327417,0.92036715,0.27076,0.52807,0.18605,0.010392,0.0034941,0.00096934,0.00022543,4.51E-05,0,0,1.99E+07,8.30E+07,1.22E+08,1.44E+08,1.65E+08,1.58E+08,1.34E+08,1.53E+08,1.78E+10,4.7851,5.6856,5.5552,5.6518,5.522,5.6244,5.5716,5.341,5.226,67.829049,13.907859,6439,2.252068768,1.83152311,0.409989,1.16450536
20401,0.959061667,0.893842917,0.2597,0.53669,0.18964,0.0096079,0.0032026,0.00095634,0.00015568,4.45E-05,0,0,2.22E+07,7.55E+07,1.12E+08,1.39E+08,1.55E+08,1.45E+08,1.35E+08,1.13E+08,2.15E+10,4.7763,5.8869,5.8967,5.8352,5.6777,5.7123,5.5668,5.4432,5.5656,68.614815,13.45904,6307,2.173226926,1.726426032,0.405838,1.1617291
20402,0.957252917,0.94570225,0.27018,0.53245,0.18218,0.010265,0.0038683,0.0009941,6.48E-05,0,0,0,2.78E+07,8.58E+07,1.22E+08,1.49E+08,1.66E+08,1.52E+08,1.35E+08,1.08E+08,2.39E+10,5.073,5.8266,6.0062,5.8125,5.4764,5.7387,5.4223,5.519,5.1658,67.44227,14.30108,6963,2.087713577,1.762362166,0.403472,1.16950488
20403,0.88272175,0.9441696,0.27128,0.53187,0.18138,0.010951,0.0034865,0.00098392,4.28E-05,0,0,0,2.83E+07,8.56E+07,1.22E+08,1.50E+08,1.59E+08,1.43E+08,1.27E+08,1.14E+08,2.42E+10,5.0134,5.8088,5.9512,5.7426,5.7669,5.7283,5.6072,5.4954,5.0825,66.78345,14.62306,7004,2.068895345,1.731905601,0.400783,1.16193581
20404,0.979977167,0.930062,0.26893,0.53626,0.17992,0.010144,0.0037473,0.0009476,6.46E-05,0,0,0,2.60E+07,8.55E+07,1.22E+08,1.44E+08,1.56E+08,1.44E+08,1.28E+08,1.08E+08,2.26E+10,4.9102,5.6346,5.9244,5.898,5.7164,5.6669,5.5765,5.3532,5.1745,66.897484,14.661966,6869,2.123998146,1.656731897,0.407035,1.16953385
